window_s,min_run_s,min_beats,cover_frac,definition,n_windows,n_available,frac_available,mean_covered_s
60,20,15,0.0,A_run_exists,74808,4995,0.06677093358999038,2.756954261242113
90,20,15,0.0,A_run_exists,49777,4583,0.0920706350322438,4.141617551780943
120,20,15,0.0,A_run_exists,37252,4250,0.11408783421024375,5.5285974578546115
180,20,15,0.0,A_run_exists,24743,3697,0.14941599644343856,8.303003627288525
300,20,15,0.0,A_run_exists,14749,3113,0.2110651569597939,13.848574479625738
60,30,20,0.0,A_run_exists,74808,2337,0.031239974334295796,1.9012392558282536
90,30,20,0.0,A_run_exists,49777,2383,0.04787351588082849,2.855859006167507
120,30,20,0.0,A_run_exists,37252,2214,0.0594330505744658,3.8133971833727047
180,30,20,0.0,A_run_exists,24743,2054,0.083013377520915,5.7242635543386005
300,30,20,0.0,A_run_exists,14749,1793,0.12156756390263747,9.540906375008475
60,60,40,0.0,A_run_exists,74808,378,0.00505293551491819,0.7742965742300288
90,60,40,0.0,A_run_exists,49777,452,0.009080499025654418,1.1627866534744962
120,60,40,0.0,A_run_exists,37252,479,0.01285837002040159,1.5526683131107055
180,60,40,0.0,A_run_exists,24743,499,0.020167320050115185,2.3295130188336097
300,60,40,0.0,A_run_exists,14749,458,0.031052952742558818,3.873711777069632
60,20,15,0.25,B_covered_0.25,74808,5704,0.07624852956903005,2.756954261242113
90,20,15,0.25,B_covered_0.25,49777,3979,0.07993651686521888,4.141617551780943
120,20,15,0.25,B_covered_0.25,37252,2623,0.07041232685493397,5.5285974578546115
180,20,15,0.25,B_covered_0.25,24743,1704,0.06886796265610476,8.303003627288525
300,20,15,0.25,B_covered_0.25,14749,876,0.05939385721065835,13.848574479625738
60,30,20,0.25,B_covered_0.25,74808,3547,0.04741471500374291,1.9012392558282536
90,30,20,0.25,B_covered_0.25,49777,2734,0.05492496534544067,2.855859006167507
120,30,20,0.25,B_covered_0.25,37252,2238,0.06007731128530012,3.8133971833727047
180,30,20,0.25,B_covered_0.25,24743,1204,0.048660227134947255,5.7242635543386005
300,30,20,0.25,B_covered_0.25,14749,626,0.04244355549528782,9.540906375008475
60,60,40,0.25,B_covered_0.25,74808,1227,0.016401989092075714,0.7742965742300288
90,60,40,0.25,B_covered_0.25,49777,906,0.018201177250537395,1.1627866534744962
120,60,40,0.25,B_covered_0.25,37252,737,0.019784172661870502,1.5526683131107055
180,60,40,0.25,B_covered_0.25,24743,580,0.0234409732045427,2.3295130188336097
300,60,40,0.25,B_covered_0.25,14749,310,0.021018374127059463,3.873711777069632
60,20,15,0.5,B_covered_0.50,74808,2872,0.038391615869960434,2.756954261242113
90,20,15,0.5,B_covered_0.50,49777,1636,0.03286658496896157,4.141617551780943
120,20,15,0.5,B_covered_0.50,37252,1052,0.028240094491570923,5.5285974578546115
180,20,15,0.5,B_covered_0.50,24743,580,0.0234409732045427,8.303003627288525
300,20,15,0.5,B_covered_0.50,14749,250,0.016950301715370535,13.848574479625738
60,30,20,0.5,B_covered_0.50,74808,2456,0.03283071329269597,1.9012392558282536
90,30,20,0.5,B_covered_0.50,49777,1251,0.02513208911746389,2.855859006167507
120,30,20,0.5,B_covered_0.50,37252,787,0.021126382476108665,3.8133971833727047
180,30,20,0.5,B_covered_0.50,24743,432,0.01745948349028008,5.7242635543386005
300,30,20,0.5,B_covered_0.50,14749,191,0.012950030510543088,9.540906375008475
60,60,40,0.5,B_covered_0.50,74808,970,0.012966527644102235,0.7742965742300288
90,60,40,0.5,B_covered_0.50,49777,657,0.013198866946581754,1.1627866534744962
120,60,40,0.5,B_covered_0.50,37252,499,0.013395253946096855,1.5526683131107055
180,60,40,0.5,B_covered_0.50,24743,216,0.00872974174514004,2.3295130188336097
300,60,40,0.5,B_covered_0.50,14749,101,0.006847921893009696,3.873711777069632
