subject,pos_win,neg_win,total_win,events,pos_min,neg_min,ratio
6D,22,0,715,2,44.0,0.0,0.0
EG,142,266,3223,5,284.0,532.0,1.87
8B,74,158,806,13,148.0,316.0,2.14
6B,182,409,1729,11,364.0,818.0,2.25
CE,206,504,3314,6,412.0,1008.0,2.45
E4,310,1157,3461,28,620.0,2314.0,3.73
5C,68,262,2969,4,136.0,524.0,3.85
7A,248,1043,2360,25,496.0,2086.0,4.21
83,314,1423,4473,16,628.0,2846.0,4.53
BG,154,741,2245,14,308.0,1482.0,4.81
DF,219,1328,3818,6,438.0,2656.0,6.06
15,79,577,2170,16,158.0,1154.0,7.3
F5,116,1088,2075,24,232.0,2176.0,9.38
7E,35,582,1509,3,70.0,1164.0,16.63
94,34,1097,2385,5,68.0,2194.0,32.26
