seed,subject,AUC,events,event recall
0,15,0.81,10,0.1
0,5C,0.401,4,0.0
0,6B,0.701,10,0.2
0,7A,0.827,23,0.043
0,83,0.828,15,0.2
0,8B,0.889,12,0.0
0,94,0.865,5,0.4
0,BG,0.622,13,0.0
0,E4,0.811,23,0.261
0,F5,0.867,23,0.13
1,15,0.794,10,0.1
1,5C,0.399,4,0.0
1,6B,0.673,10,0.1
1,7A,0.867,23,0.043
1,83,0.834,15,0.0
1,8B,0.858,12,0.0
1,94,0.823,5,0.0
1,BG,0.63,13,0.0
1,E4,0.825,23,0.087
1,F5,0.898,23,0.13
2,15,0.828,10,0.0
2,5C,0.365,4,0.0
2,6B,0.671,10,0.3
2,7A,0.848,23,0.0
2,83,0.861,15,0.067
2,8B,0.909,12,0.083
2,94,0.816,5,0.0
2,BG,0.646,13,0.0
2,E4,0.804,23,0.348
2,F5,0.88,23,0.217
