seed,subject,n,pos,AUC,recall@1FA/h
0,15,183,79,0.81,0.127
0,5C,152,68,0.401,0.0
0,6B,420,182,0.701,0.286
0,7A,572,248,0.827,0.056
0,83,726,314,0.828,0.159
0,8B,150,74,0.889,0.176
0,94,78,34,0.865,0.324
0,BG,357,154,0.622,0.045
0,E4,716,310,0.811,0.303
0,F5,268,116,0.867,0.138
1,15,183,79,0.794,0.076
1,5C,152,68,0.399,0.0
1,6B,420,182,0.673,0.198
1,7A,572,248,0.867,0.056
1,83,726,314,0.834,0.105
1,8B,150,74,0.858,0.149
1,94,78,34,0.823,0.235
1,BG,357,154,0.63,0.019
1,E4,716,310,0.825,0.219
1,F5,268,116,0.898,0.121
2,15,183,79,0.828,0.114
2,5C,152,68,0.365,0.0
2,6B,420,182,0.671,0.242
2,7A,572,248,0.848,0.085
2,83,726,314,0.861,0.092
2,8B,150,74,0.909,0.135
2,94,78,34,0.816,0.294
2,BG,357,154,0.646,0.026
2,E4,716,310,0.804,0.274
2,F5,268,116,0.88,0.181
